1,1,121.17,336.09,136.19,55.69,0.8704,-1,-1,-1
1,2,733.59,268.21,72.67,36.87,0.8040,-1,-1,-1
1,3,223.87,251.48,81.68,40.59,0.6424,-1,-1,-1
2,1,99.80,339.23,141.61,57.91,0.8594,-1,-1,-1
2,2,722.49,269.98,72.53,36.82,0.8173,-1,-1,-1
2,3,221.76,251.05,82.87,41.21,0.6797,-1,-1,-1
3,1,77.56,342.23,143.97,58.88,0.8539,-1,-1,-1
3,2,710.07,271.98,73.14,37.11,0.7890,-1,-1,-1
3,3,222.07,251.51,82.79,41.20,0.7286,-1,-1,-1
4,1,51.04,345.39,147.80,60.45,0.8539,-1,-1,-1
4,2,695.22,272.98,75.17,38.14,0.7998,-1,-1,-1
4,3,221.62,252.00,82.45,41.03,0.7480,-1,-1,-1
5,1,22.82,347.93,153.52,62.87,0.8641,-1,-1,-1
5,2,681.06,275.35,75.42,38.22,0.7851,-1,-1,-1
5,3,219.38,251.81,82.72,41.11,0.7648,-1,-1,-1
6,1,0.00,352.83,153.75,63.60,0.8471,-1,-1,-1
6,2,665.83,276.79,78.47,39.83,0.8161,-1,-1,-1
6,3,217.37,251.91,83.41,41.29,0.7501,-1,-1,-1
7,1,0.00,356.29,139.94,65.34,0.8645,-1,-1,-1
7,2,651.38,279.39,78.46,39.74,0.8279,-1,-1,-1
7,3,217.41,252.23,83.44,41.13,0.7749,-1,-1,-1
8,1,0.00,361.01,126.80,66.42,0.8247,-1,-1,-1
8,2,636.62,280.93,80.21,40.58,0.8425,-1,-1,-1
8,3,216.73,252.44,83.59,40.99,0.8021,-1,-1,-1
9,1,0.00,365.88,105.09,59.49,0.8246,-1,-1,-1
9,2,621.83,282.73,81.92,41.43,0.8415,-1,-1,-1
9,3,216.13,252.57,83.88,40.93,0.7974,-1,-1,-1
10,1,0.00,369.90,85.96,56.01,0.7871,-1,-1,-1
10,2,606.24,284.90,82.69,41.74,0.8472,-1,-1,-1
10,3,214.80,252.55,84.25,40.88,0.8051,-1,-1,-1
11,2,591.57,287.28,83.19,41.85,0.8319,-1,-1,-1
11,3,214.49,252.73,84.83,40.82,0.8097,-1,-1,-1
12,2,576.89,288.84,84.80,42.68,0.6322,-1,-1,-1
12,3,213.10,252.52,85.99,41.03,0.7846,-1,-1,-1
13,2,560.85,290.32,85.93,43.13,0.7845,-1,-1,-1
13,3,213.24,253.04,85.87,40.60,0.7545,-1,-1,-1
14,2,534.71,293.66,107.13,55.03,0.4723,-1,-1,-1
14,3,213.13,253.39,86.26,40.43,0.7519,-1,-1,-1
15,2,516.88,295.80,113.30,59.39,0.3421,-1,-1,-1
15,3,212.72,253.47,86.67,40.31,0.7903,-1,-1,-1
16,3,212.40,253.52,87.02,40.10,0.7936,-1,-1,-1
17,2,501.67,302.82,101.98,51.68,0.2871,-1,-1,-1
17,3,211.58,253.48,87.88,40.28,0.8122,-1,-1,-1
17,10,491.21,211.83,102.24,58.21,0.4587,-1,-1,-1
18,2,480.74,305.16,93.76,47.15,0.7550,-1,-1,-1
18,3,210.21,253.06,89.01,40.52,0.8068,-1,-1,-1
18,10,491.80,211.97,103.04,58.74,0.2830,-1,-1,-1
19,2,456.51,307.75,89.86,45.84,0.7260,-1,-1,-1
19,3,210.38,253.17,89.48,40.51,0.7846,-1,-1,-1
20,2,439.93,308.79,94.39,48.32,0.8063,-1,-1,-1
20,3,210.61,253.27,89.40,40.26,0.8097,-1,-1,-1
20,10,490.03,210.98,105.24,60.05,0.3907,-1,-1,-1
21,2,425.87,312.25,94.17,47.88,0.8351,-1,-1,-1
21,3,210.46,253.24,90.28,40.40,0.7508,-1,-1,-1
22,2,408.25,315.09,97.00,49.01,0.8363,-1,-1,-1
22,3,210.51,253.47,90.37,40.27,0.7865,-1,-1,-1
23,2,390.05,317.84,99.64,50.07,0.8287,-1,-1,-1
23,3,210.28,253.47,90.93,40.36,0.7704,-1,-1,-1
24,2,369.86,319.25,105.43,53.07,0.8567,-1,-1,-1
24,3,210.50,253.62,90.88,40.16,0.7921,-1,-1,-1
25,2,350.01,321.76,108.55,54.70,0.8531,-1,-1,-1
25,3,210.63,253.73,91.02,40.10,0.8028,-1,-1,-1
26,2,330.36,325.28,110.07,55.42,0.8402,-1,-1,-1
26,3,210.43,253.84,91.10,39.95,0.7807,-1,-1,-1
27,2,311.14,329.28,110.47,55.38,0.8333,-1,-1,-1
27,3,209.70,253.65,91.92,40.23,0.7869,-1,-1,-1
27,10,493.90,213.51,98.12,55.73,0.2519,-1,-1,-1
28,2,291.41,333.67,111.78,55.84,0.8591,-1,-1,-1
28,3,209.36,253.48,92.52,40.39,0.7788,-1,-1,-1
29,2,269.22,337.04,114.60,56.97,0.8621,-1,-1,-1
29,3,209.01,253.37,92.89,40.45,0.7852,-1,-1,-1
30,2,248.49,340.69,116.88,57.77,0.8451,-1,-1,-1
30,3,209.10,253.23,92.98,40.42,0.8135,-1,-1,-1
30,10,492.73,211.61,99.35,56.12,0.2500,-1,-1,-1
31,2,225.98,343.62,121.10,59.68,0.8454,-1,-1,-1
31,3,208.32,253.00,93.55,40.60,0.7887,-1,-1,-1
32,2,202.30,345.83,125.60,61.78,0.8612,-1,-1,-1
32,3,208.96,253.13,93.14,40.34,0.7727,-1,-1,-1
33,2,178.92,349.43,129.91,63.82,0.8372,-1,-1,-1
33,3,208.65,252.94,93.75,40.62,0.7858,-1,-1,-1
34,2,153.95,352.58,134.07,65.73,0.8516,-1,-1,-1
